date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1994-07-01,1994,False,False,0.0,0.047619047619047616,0.0,0.0,-1.0
1994-07-04,1994,False,False,0.0,0.09523809523809523,0.0,0.0,-1.0
1994-07-05,1994,False,False,0.0,0.14285714285714285,0.0,0.0,-1.0
1994-07-06,1994,False,False,0.0,0.19047619047619047,0.0,0.0,-1.0
1994-07-07,1994,False,False,0.0,0.23809523809523808,0.0,0.0,-1.0
1994-07-08,1994,False,False,0.0,0.2857142857142857,0.0,0.0,-1.0
1994-07-11,1994,False,False,0.0,0.3333333333333333,0.0,0.0,-1.0
1994-07-12,1994,False,False,0.0,0.38095238095238093,0.0,0.0,-1.0
1994-07-13,1994,False,False,0.0,0.42857142857142855,0.0,0.0,-1.0
1994-07-14,1994,False,False,0.0,0.47619047619047616,0.0,0.0,-1.0
1994-07-15,1994,False,False,0.0,0.5238095238095237,0.0,0.0,-1.0
1994-07-18,1994,False,False,0.0,0.5714285714285714,0.0,0.0,-1.0
1994-07-19,1994,False,False,0.0,0.6190476190476191,0.0,0.0,-1.0
1994-07-20,1994,False,False,0.0,0.6666666666666666,0.0,0.0,-1.0
1994-07-21,1994,False,False,0.0,0.7142857142857142,0.0,0.0,-1.0
1994-07-22,1994,False,False,0.0,0.7619047619047619,0.0,0.0,-1.0
1994-07-25,1994,False,False,0.0,0.8095238095238095,0.0,0.0,-1.0
1994-07-26,1994,False,False,0.0,0.8571428571428571,0.0,0.0,-1.0
1994-07-27,1994,False,False,0.0,0.9047619047619047,0.0,0.0,-1.0
1994-07-28,1994,False,False,0.0,0.9523809523809523,0.0,0.0,-1.0
1994-07-29,1994,False,True,0.0,0.9999999999999999,0.0,-1.1102230246251565e-16,-1.0
1994-08-01,1994,True,False,1.0,1.0171228861099142,0.0,-0.02525723414466552,-0.016834628680318375
1994-08-02,1994,False,False,1.0076890838720323,1.0680875821645057,0.007689083872032265,-0.017359424408654678,-0.05654826373889155
