date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag
1994-07-01,4505.247671554893,Ibovespa,1994,7,1,199407,19943,199426,1.0,False,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,4505.247671554893,True
1994-07-04,4619.416148445855,Ibovespa,1994,7,4,199407,19943,199427,1.025341220996971,False,0.047619047619047616,0.09523809523809523,0.0,0.0,0.09523809523809523,0.0,0.0,4619.416148445855,True
1994-07-05,4724.97987523427,Ibovespa,1994,7,5,199407,19943,199427,1.022852179452144,False,0.047619047619047616,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,4724.97987523427,True
1994-07-06,4684.352852495778,Ibovespa,1994,7,6,199407,19943,199427,0.9914016516871454,False,0.047619047619047616,0.19047619047619047,0.0,0.0,0.19047619047619047,0.0,0.0,4724.97987523427,False
1994-07-07,4661.859128289316,Ibovespa,1994,7,7,199407,19943,199427,0.9951981148912644,False,0.047619047619047616,0.23809523809523808,0.0,0.0,0.23809523809523808,0.0,0.0,4724.97987523427,False
1994-07-08,4620.354379494695,Ibovespa,1994,7,8,199407,19943,199427,0.9910969534573107,True,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,4724.97987523427,False
1994-07-11,4670.5483388779785,Ibovespa,1994,7,11,199407,19943,199428,1.0108636600703282,False,0.047619047619047616,0.047619047619047616,0.0,0.28881818859152236,0.33643723621057,0.2857142857142857,0.009311708631710047,4724.97987523427,False
1994-07-12,4668.404302621986,Ibovespa,1994,7,12,199407,19943,199428,0.999540945494955,False,0.047619047619047616,0.09523809523809523,0.0,0.2886856053009105,0.3839237005390057,0.2857142857142857,0.007799713914889983,4724.97987523427,False
1994-07-13,4734.192924867424,Ibovespa,1994,7,13,199407,19943,199428,1.014092314628467,False,0.047619047619047616,0.14285714285714285,0.0,0.29275385367952034,0.4356109965366632,0.2857142857142857,0.016425658585547565,4734.192924867424,True
1994-07-14,4581.880103840945,Ibovespa,1994,7,14,199407,19943,199428,0.9678270777208039,True,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.4738112971743445,0.4738112971743445,0.47619047619047616,-0.004996275933876526,4734.192924867424,False
1994-07-15,4715.511033611461,Ibovespa,1994,7,15,199407,19943,199428,1.0291650865456945,False,0.047619047619047616,0.047619047619047616,0.0,0.487630044662762,0.5352490922818096,0.47619047619047616,0.021839176174363928,4734.192924867424,False
1994-07-18,4709.922794069198,Ibovespa,1994,7,18,199407,19943,199429,0.9988149238751789,False,0.047619047619047616,0.09523809523809523,0.0,0.4870521659390867,0.5822902611771819,0.47619047619047616,0.019007957060068303,4734.192924867424,False
1994-07-19,4770.582086345663,Ibovespa,1994,7,19,199407,19943,199429,1.0128790417441338,False,0.047619047619047616,0.14285714285714285,0.0,0.4933249311157869,0.6361820739729298,0.47619047619047616,0.027678734879348132,4770.582086345663,True
1994-07-20,4761.487569987144,Ibovespa,1994,7,20,199407,19943,199429,0.9980936254331417,False,0.047619047619047616,0.19047619047619047,0.0,0.4923844690139107,0.6828606594901012,0.47619047619047616,0.02429098923515194,4770.582086345663,False
1994-07-21,4731.708583077566,Ibovespa,1994,7,21,199407,19943,199429,0.9937458648223126,True,0.047619047619047616,0.23809523809523808,0.23809523809523808,0.7274002680805418,0.7274002680805418,0.7142857142857142,0.01836037531275858,4770.582086345663,False
1994-07-22,4773.941828470909,Ibovespa,1994,7,22,199407,19943,199429,1.0089255804012076,False,0.047619047619047616,0.047619047619047616,0.0,0.7338927376571547,0.7815117852762024,0.7142857142857142,0.025734218175015755,4773.941828470909,True
1994-07-25,4847.987092216697,Ibovespa,1994,7,25,199407,19943,199430,1.0155102987020488,False,0.047619047619047616,0.09523809523809523,0.0,0.7452756332334816,0.8405137284715768,0.7142857142857142,0.038281664582536123,4847.987092216697,True
1994-07-26,4833.0031691513,Ibovespa,1994,7,26,199407,19943,199430,0.9969092485643262,False,0.047619047619047616,0.14285714285714285,0.0,0.7429721715000924,0.8858293143572353,0.7142857142857142,0.033467533416774664,4847.987092216697,False
1994-07-27,4822.381520261657,Ibovespa,1994,7,27,199407,19943,199430,0.9978022673443625,True,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.9318155077727472,0.9318155077727472,0.9047619047619047,0.029901350696194484,4847.987092216697,False
1994-07-28,4884.956948098452,Ibovespa,1994,7,28,199407,19943,199430,1.0129760425577858,False,0.047619047619047616,0.047619047619047616,0.0,0.9439067854576112,0.9915258330766588,0.9047619047619047,0.041102124730491685,4884.956948098452,True
1994-07-29,4811.670594782522,Ibovespa,1994,7,29,199407,19943,199430,0.9849975436642369,False,0.047619047619047616,0.09523809523809523,0.0,0.9297458651237528,1.024983960361848,0.9047619047619047,0.024983960361848245,4884.956948098452,False
1994-08-01,4684.857213037036,Ibovespa,1994,8,1,199408,19943,199431,0.973644625240349,False,0.043478260869565216,0.13871635610766045,0.0,0.9052420644171802,1.0439584205248407,0.9047619047619047,0.0004601530029724188,4884.956948098452,False
1994-08-02,4720.879473076573,Ibovespa,1994,8,2,199408,19943,199431,1.0076890838720323,False,0.043478260869565216,0.18219461697722567,0.0,0.9122025465749756,1.0943971635522012,0.9047619047619047,0.006845390468025236,4884.956948098452,False
1994-08-03,4666.806134456931,Ibovespa,1994,8,3,199408,19943,199431,0.9885459184187979,False,0.043478260869565216,0.22567287784679088,0.0,0.9017541041879256,1.1274269820347165,0.9047619047619047,-0.00266074666159688,4884.956948098452,False
1994-08-04,4510.729065780673,Ibovespa,1994,8,4,199408,19943,199431,0.9665559133635577,False,0.043478260869565216,0.2691511387163561,0.0,0.871595761802697,1.1407469005190531,0.9047619047619047,-0.02825264029858432,4884.956948098452,False
1994-08-05,4447.560883688042,Ibovespa,1994,8,5,199408,19943,199431,0.9859960150185392,False,0.043478260869565216,0.3126293995859213,0.0,0.8593899478445072,1.1720193474304286,0.9047619047619047,-0.037269821753576404,4884.956948098452,False
1994-08-08,4412.710267531502,Ibovespa,1994,8,8,199408,19943,199432,0.9921641058845627,False,0.043478260869565216,0.35610766045548653,0.0,0.8526558592093265,1.208763519664813,0.9047619047619047,-0.04132548440376882,4884.956948098452,False
1994-08-09,4321.322238831769,Ibovespa,1994,8,9,199408,19943,199432,0.9792898189187355,False,0.043478260869565216,0.3995859213250518,0.0,0.8349972019651001,1.2345831232901519,0.9047619047619047,-0.05348627214421697,4884.956948098452,False
1994-08-10,4209.092554937053,Ibovespa,1994,8,10,199408,19943,199432,0.9740288555928066,False,0.043478260869565216,0.44306418219461696,0.0,0.8133113690532621,1.2563755512478791,0.9047619047619047,-0.06785039746125077,4884.956948098452,False
1994-08-11,4214.186451789944,Ibovespa,1994,8,11,199408,19943,199432,1.0012102126019813,False,0.043478260869565216,0.48654244306418215,0.0,0.8142956487214249,1.300838091785607,0.9047619047619047,-0.06502262152909488,4884.956948098452,False
1994-08-12,4285.15638295101,Ibovespa,1994,8,12,199408,19943,199432,1.0168407193115345,False,0.043478260869565216,0.5300207039337475,0.0,0.8280089731781464,1.3580296771118938,0.9047619047619047,-0.05349446746746789,4884.956948098452,False
1994-08-15,4269.559538818054,Ibovespa,1994,8,15,199408,19943,199433,0.9963602625577423,False,0.043478260869565216,0.5734989648033126,0.0,0.8249952379159445,1.3984942027192573,0.9047619047619047,-0.053959804042855275,4884.956948098452,False
1994-08-16,4215.111064324776,Ibovespa,1994,8,16,199408,19943,199433,0.9872472853468274,False,0.043478260869565216,0.6169772256728778,0.0,0.8144743090565761,1.431451534729454,0.9047619047619047,-0.05933184860635865,4884.956948098452,False
1994-08-17,4246.757834952413,Ibovespa,1994,8,17,199408,19943,199433,1.0075079328028826,False,0.043478260869565216,0.660455486542443,0.0,0.8205893274386472,1.4810448139810903,0.9047619047619047,-0.05377692440096993,4884.956948098452,False
