horizon_years,contribution_interval_days,window_stride_days,window_number,start_date,end_date,final_relative_advantage,mean_relative_advantage,median_relative_advantage,std_relative_advantage,percent_time_btd_better,annual_return_btd,annual_return_dca,annual_alpha
1,15,0,0,1990-12-19,1991-12-19,0.07384327330078988,0.1471627560317513,0.08255079607780846,0.24496491297435716,0.9647058823529412,0.9671456528352611,0.9081624004746158,0.05898325236064528
1,15,3127,1,1999-07-12,2000-07-11,0.07365552654569063,0.12835430759666627,0.044154607581814,0.22936410615076666,0.9581589958158996,0.23580936127054963,0.19896439506951058,0.03684496620103905
1,15,6255,2,2008-02-03,2009-02-02,0.03404014509266995,0.09949291990267736,0.03772967660593429,0.1822264499909045,0.9790794979079498,-0.16561406202678186,-0.1931744291342029,0.027560367107421047
1,15,9382,3,2016-08-26,2017-08-26,0.05408320033127634,0.06945666204002923,0.017267169325223097,0.08930907628602108,0.9588477366255144,0.06549956481781027,0.052905707238322996,0.012593857579487278
1,15,12510,4,2025-03-20,2026-03-20,0.059334308923102874,0.1276057302611603,0.07156273939007374,0.20643253161136882,0.9588477366255144,0.07749216156007943,0.059509476268289285,0.017982685291790146
1,30,0,0,1990-12-19,1991-12-19,0.150598574676444,0.2281591695905592,0.18843376161045322,0.2287553277087998,0.9215686274509803,1.0021476230644053,0.8850221226073809,0.11712550045702441
1,30,3127,1,1999-07-12,2000-07-11,0.13858825861997448,0.21302228785839555,0.13858825861997437,0.28568068089405574,0.9121338912133892,0.24595657624425282,0.18545074602517952,0.0605058302190733
1,30,6255,2,2008-02-03,2009-02-02,0.06087586541845558,0.17143272442514246,0.0775596016140987,0.18722995336724615,0.9330543933054394,-0.1410487896853262,-0.1905019765362268,0.04945318685090061
1,30,9382,3,2016-08-26,2017-08-26,0.10085824286441225,0.18206811427150948,0.11895689673372134,0.24572876133540858,0.9135802469135802,0.07055716618656471,0.05345657378656776,0.01710059239999695
1,30,12510,4,2025-03-20,2026-03-20,0.11407107471982258,0.2260445461828432,0.16990725594629175,0.2215289937599835,0.9176954732510288,0.08590321646892907,0.05592240443209895,0.029980812036830118
1,45,0,0,1990-12-19,1991-12-19,0.22296552437985317,0.2696203459497624,0.2934805414282706,0.10178107344801934,0.8823529411764706,1.018699841170788,0.8568859071552792,0.1618139340155087
1,45,3127,1,1999-07-12,2000-07-11,0.19429586187512138,0.17605191610686696,0.0991765151310271,0.12842038590439506,0.8661087866108786,0.2570671614111091,0.18408068239011222,0.07298647902099686
1,45,6255,2,2008-02-03,2009-02-02,0.06849059030930227,0.2111758504306458,0.12030332570192681,0.26253626716562495,0.8870292887029289,-0.10751446009238652,-0.16491307108276232,0.0573986109903758
1,45,9382,3,2016-08-26,2017-08-26,0.1564089847584984,0.25374927535883773,0.17738775865098955,0.31542632827893463,0.9012345679012346,0.07223578666356789,0.04301437846552858,0.02922140819803931
1,45,12510,4,2025-03-20,2026-03-20,0.16559018767776235,0.30245659037511946,0.24075608664265724,0.24669071001228662,0.8806584362139918,0.09254953157337176,0.054477291407254436,0.03807224016611732
1,60,0,0,1990-12-19,1991-12-19,0.3018190229812372,0.3976401092409749,0.33297846801731223,0.15024258671217988,0.8431372549019608,1.0295656058928628,0.8187234451854337,0.21084216070742912
1,60,3127,1,1999-07-12,2000-07-11,0.265236392603857,0.3252176596754635,0.309868852427299,0.288745730327869,0.8200836820083682,0.2743248131418021,0.17498176682438293,0.09934304631741919
