date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,dip_window,running_window_peak,drawdown_from_window_peak,threshold_hit,fallback_execution
1971-02-08,98.39821945330384,Nasdaq Composite,1971,2,8,197102,19711,197106,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,98.39821945330384,0.0,False,False
1971-02-09,98.80110754908512,Nasdaq Composite,1971,2,9,197102,19711,197106,1.0040944653065849,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,98.80110754908512,0.0,False,False
1971-02-10,98.8393012939555,Nasdaq Composite,1971,2,10,197102,19711,197106,1.000386572031608,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,98.8393012939555,0.0,False,False
1971-02-11,99.55856246543615,Nasdaq Composite,1971,2,11,197102,19711,197106,1.0072770766493129,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.55856246543615,0.0,False,False
1971-02-12,97.8382110302135,Nasdaq Composite,1971,2,12,197102,19711,197106,0.9827202061518324,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.55856246543615,-0.01727979384816758,False,False
1971-02-15,99.3600455695106,Nasdaq Composite,1971,2,15,197102,19711,197107,1.0155546030867955,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.55856246543615,-0.0019939710961019985,False,False
1971-02-16,99.53364898132487,Nasdaq Composite,1971,2,16,197102,19711,197107,1.0017472155011524,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.55856246543615,-0.0002502394921575224,False,False
1971-02-17,98.01982201534364,Nasdaq Composite,1971,2,17,197102,19711,197107,0.9847908020908058,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.55856246543615,-0.015455631459390773,False,False
1971-02-18,96.28509001848198,Nasdaq Composite,1971,2,18,197102,19711,197107,0.9823022327403318,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.55856246543615,-0.03287986855063951,False,False
1971-02-19,94.647064604502,Nasdaq Composite,1971,2,19,197102,19711,197107,0.9829877563217155,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.55856246543615,-0.049332751893030546,False,False
1971-02-22,93.7795727438613,Nasdaq Composite,1971,2,22,197102,19711,197108,0.9908344557301838,True,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,-1.1102230246251565e-16,0,99.55856246543615,-0.05804613464141928,True,False
1971-02-23,95.33842654693832,Nasdaq Composite,1971,2,23,197102,19711,197108,1.0166225304452463,False,0.0,0.0,0.0,1.016622530445246,1.016622530445246,1.0,0.016622530445246086,0,99.55856246543615,-0.04238847783647881,False,False
1971-02-24,96.54306243063806,Nasdaq Composite,1971,2,24,197102,19711,197108,1.012635365689685,False,0.0,0.0,0.0,1.0294679278857948,1.0294679278857948,1.0,0.029467927885794776,0,99.55856246543615,-0.030288706065286886,False,False
1971-02-25,95.88259804875094,Nasdaq Composite,1971,2,25,197102,19711,197108,0.9931588623225864,False,0.0,0.0,0.0,1.0224251960566464,1.0224251960566464,1.0,0.02242519605664639,0,99.55856246543615,-0.036922634534437004,False,False
1971-02-26,95.22338659169364,Nasdaq Composite,1971,2,26,197102,19711,197108,0.9931248060599889,False,0.0,0.0,0.0,1.015395824544603,1.015395824544603,1.0,0.015395824544603087,0,99.55856246543615,-0.04354397820124778,False,False
1971-03-01,97.78341712331766,Nasdaq Composite,1971,3,1,197103,19711,197109,1.0268844726411708,False,0.0,0.0,0.0,1.0426942058095314,1.0426942058095314,1.0,0.04269420580953143,0,99.55856246543615,-0.017830162450716114,False,False
1971-03-02,99.02998168904502,Nasdaq Composite,1971,3,2,197103,19711,197109,1.0127482205306373,False,0.0,0.0,0.0,1.055986701491209,1.055986701491209,1.0,0.05598670149120899,0,99.55856246543615,-0.005309244763097576,False,False
1971-03-03,98.00876140883622,Nasdaq Composite,1971,3,3,197103,19711,197109,0.9896877666461109,False,0.0,0.0,0.0,1.045097120206828,1.045097120206828,1.0,0.04509712020682799,0,99.55856246543615,-0.015566727946056624,False,False
1971-03-04,97.85783530436716,Nasdaq Composite,1971,3,4,197103,19711,197109,0.9984600753820417,False,0.0,0.0,0.0,1.0434877494232642,1.0434877494232642,1.0,0.043487749423264166,0,99.55856246543615,-0.01708268097642973,False,False
1971-03-05,97.33774412746912,Nasdaq Composite,1971,3,5,197103,19711,197109,0.9946852372599455,False,0.0,0.0,0.0,1.0379418596129262,1.0379418596129262,1.0,0.037941859612926176,0,99.55856246543615,-0.022306653320130376,False,False
1971-03-08,97.58391149858564,Nasdaq Composite,1971,3,8,197103,19711,197110,1.0025290022213187,False,0.0,0.0,0.0,1.040566816881487,1.040566816881487,1.0,0.040566816881487,0,99.55856246543615,-0.019834064674608576,False,False
1971-03-09,98.79639949387897,Nasdaq Composite,1971,3,9,197103,19711,197110,1.012425080903945,False,0.0,0.0,0.0,1.0534959437672,1.0534959437672,1.0,0.053495943767200016,0,99.55856246543615,-0.007655423628899705,False,False
1971-03-10,98.4777000137604,Nasdaq Composite,1971,3,10,197103,19711,197110,0.9967741792033796,False,0.0,0.0,0.0,1.0500975546426405,1.0500975546426405,1.0,0.05009755464264054,1,98.4777000137604,0.0,False,False
1971-03-11,99.01738300314686,Nasdaq Composite,1971,3,11,197103,19711,197110,1.0054802558275737,False,0.0,0.0,0.0,1.0558523578859917,1.0558523578859917,1.0,0.055852357885991744,1,99.01738300314686,0.0,False,False
1971-03-12,99.827830216622,Nasdaq Composite,1971,3,12,197103,19711,197110,1.0081848983369859,False,0.0,0.0,0.0,1.0644944020941554,1.0644944020941554,1.0,0.06449440209415536,1,99.827830216622,0.0,False,False
1971-03-15,100.93778709386024,Nasdaq Composite,1971,3,15,197103,19711,197111,1.0111187118344622,False,0.0,0.0,0.0,1.0763302086004385,1.0763302086004385,1.0,0.07633020860043849,1,100.93778709386024,0.0,False,False
