date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
2004-05-01,2004,False,True,1.0,1.0,0.0,0.0,0.0
2004-06-01,2004,False,True,2.0,2.016587211649258,0.0,0.008293605824629013,-0.008225387701279896
2004-07-01,2004,False,True,3.0,2.979246048814984,0.0,-0.006917983728338739,0.00696617561791224
2004-08-01,2004,True,True,4.0,3.944337085036176,0.0,-0.013915728740956035,0.01411210902206994
2004-09-01,2004,False,True,5.07036768436337,5.013725551791815,0.014073536872673875,0.00274511035836289,0.011297413866483419
2004-10-01,2004,False,True,6.11419762923501,6.067713626476263,0.01903293820583496,0.011285604412710537,0.007660876175156872
2004-11-01,2004,False,True,7.220519442791329,7.224519491202625,0.031502777541618565,0.03207421302894642,-0.0005536767415696975
2004-12-01,2004,False,True,8.297735719320318,8.356695281975151,0.037216964915039785,0.044586910246893874,-0.007055368260465933
2005-01-01,2005,False,True,9.397551696878148,9.550781601655872,0.04417241076423872,0.061197955739541454,-0.016043703140605547
2005-02-01,2005,False,True,10.52493263744078,10.827432708313896,0.052493263744078034,0.08274327083138955,-0.027938300705470098
2005-03-01,2005,False,True,11.488978247000752,11.74139966113951,0.04445256790915919,0.06739996919450086,-0.021498409169581123
2005-04-01,2005,True,True,12.384025890630477,12.46688561947645,0.03200215755253977,0.03890713495637077,-0.006646385582981917
2005-05-01,2005,False,True,13.927151517955096,14.01364522194024,0.07131934753500735,0.07797270938001843,-0.006172106016336665
2005-06-01,2005,False,True,15.344531057609906,15.466104434125947,0.0960379326864218,0.10472174529471046,-0.007860633363356184
2005-07-01,2005,False,True,16.785124260502513,16.97674511977351,0.11900828403350094,0.13178300798490072,-0.011287255473241942
2005-08-01,2005,True,True,17.774968282835978,17.964237764668926,0.11093551767724863,0.12276486029180789,-0.0105359038503261
2005-09-01,2005,False,True,19.56005660728779,19.757685781132434,0.15059156513457594,0.16221681065484894,-0.010002647882646709
2005-10-01,2005,True,True,20.116338606917154,20.285335884133033,0.11757436705095303,0.12696310467405736,-0.008331007097006848
2005-11-01,2005,False,True,21.752488097561642,21.926829664010366,0.14486779460850752,0.1540436665268614,-0.007951061285201622
2005-12-01,2005,False,True,23.48426831845759,23.700019855935484,0.17421341592287964,0.18500099279677418,-0.009103432773026054
2006-01-01,2006,False,True,25.24723320870976,25.541672118899594,0.20224920041475047,0.21627010089998078,-0.011527785213872765
2006-02-01,2006,False,True,26.721227071236335,27.08585645451778,0.21460123051074254,0.2311752933871718,-0.01346198463001258
2006-03-01,2006,False,True,28.175817750435687,28.627771635583986,0.22503555436676903,0.24468572328626026,-0.01578725340209597
2006-04-01,2006,False,True,29.3171850088417,29.802394582397582,0.22154937536840413,0.24176644093323252,-0.016280892201946173
2006-05-01,2006,True,True,29.096163301245944,29.241770059770044,0.16384653204983768,0.1696708023908018,-0.004979409872469365
2006-06-01,2006,False,True,30.260416042621316,30.40684477581619,0.16386215548543515,0.16949402983908413,-0.004815650366700841
2006-07-01,2006,False,True,31.751344687867352,31.91700809988698,0.17597572918027238,0.1821114111069253,-0.005190443023392777
2006-08-01,2006,False,True,33.54431257891396,33.76769780373106,0.19801116353264137,0.20598920727610937,-0.006615352521675888
2006-09-01,2006,False,True,35.155689892805356,35.44359464463077,0.21226516871742596,0.2221929187803715,-0.008122899347880574
2006-10-01,2006,False,True,37.24248481029584,37.679963303129746,0.2414161603431948,0.2559987767709915,-0.011610374705369408
2006-11-01,2006,True,True,38.10013410528548,38.51360610787871,0.22903658404146698,0.2423743905767326,-0.010735738466947864
2006-12-01,2006,False,True,40.56010973807307,40.989425754415905,0.26750342931478355,0.280919554825497,-0.010473823637223822
2007-01-01,2007,False,True,42.36807686482572,42.82658492240889,0.2838811171159308,0.29777530067905733,-0.01070615502996275
2007-02-01,2007,True,True,42.535198005014905,42.94298183823901,0.25103523544161477,0.26302887759526494,-0.00949593660636272
2007-03-01,2007,False,True,44.60606498805464,45.0241151950985,0.27445899965870413,0.2864032912885286,-0.009285028816943264
2007-04-01,2007,False,True,47.087099437255254,47.55331223837642,0.3079749843682016,0.3209253399549006,-0.009804002690372515
2007-05-01,2007,False,True,49.230211482782735,49.75895120612739,0.3305462562914252,0.3448365190845242,-0.010626022263900636
2007-06-01,2007,False,True,49.87714023257497,50.37893012147548,0.3125563219098677,0.32576131898619676,-0.009960312529276982
2007-07-01,2007,False,True,49.28773818964274,49.63356469438292,0.26378815870878825,0.27265550498417745,-0.006967593540169736
2007-08-01,2007,False,True,49.80648849498868,50.09422493962998,0.24516221237471703,0.2523556234907496,-0.005743904511708919
2007-09-01,2007,False,True,51.030214910688336,51.35006378401209,0.24463938806556929,0.25244058009785597,-0.006228792132938699
2007-10-01,2007,False,True,53.26188725530004,53.78649677860693,0.26814017274523905,0.28063087568111733,-0.009753554418430732
2007-11-01,2007,False,True,52.15627582046443,52.2843151524194,0.2129366469875449,0.21591430587021865,-0.002448905213384034
2007-12-01,2007,False,True,52.48975502147824,52.47681768311017,0.19294897776086906,0.19265494734341293,0.00024653435439225824
2008-01-01,2008,False,True,48.53976273426583,47.363347679398906,0.07866139409479622,0.05251883731997564,0.02483808920834818
2008-02-01,2008,False,True,49.16571779934883,47.89142087406454,0.06881995215975723,0.041117845088359584,0.026608041733303
2008-03-01,2008,False,True,48.65205287695529,46.940925413381485,0.03515006121181474,-0.0012569060982662306,0.03645278503789373
2008-04-01,2008,False,True,51.64813032799746,50.56904119319587,0.07600271516661361,0.05352169152491393,0.02133892811372462
2008-05-01,2008,False,True,52.53510073008581,51.417219619506895,0.07214491285889402,0.049331012642997774,0.021741376115849143
2008-06-01,2008,False,True,49.72123281623173,47.19281685217277,-0.005575343675365385,-0.056143662956544604,0.05357628835716666
2008-07-01,2008,False,True,50.065195303532896,47.274693296202166,-0.018329503852296147,-0.07304522948623204,0.05902739526720335
2008-08-01,2008,False,True,51.58023474930719,49.01106674299152,-0.008072408667169517,-0.05747948571170158,0.0524201609360615
2008-09-01,2008,False,True,48.83627911781721,44.54668387885625,-0.0785607713619394,-0.15949653058761792,0.09629437851370537
2008-10-01,2008,False,True,45.87675468892583,39.634965385141555,-0.15043046872359578,-0.2660191595344157,0.15748189113151612
2008-11-01,2008,False,True,45.03332498115739,37.81141685536352,-0.18121227306986565,-0.3125196935388451,0.19099808275947883
2008-12-01,2008,False,True,44.943813537464806,37.097298172307895,-0.19743190111669995,-0.3375482469230733,0.21151177448858305
