horizon_years,contribution_interval_days,window_stride_days,window_number,start_date,end_date,final_relative_advantage,mean_relative_advantage,median_relative_advantage,std_relative_advantage,percent_time_btd_better,annual_return_btd,annual_return_dca,annual_alpha
1,15,0,0,1950-01-03,1951-01-03,0.05535385218060629,0.09383690305441965,0.059253319189499054,0.1506749014551043,0.9575971731448764,0.14125412359181655,0.12644280115361073,0.01481132243820582
1,15,6867,1,1968-10-22,1969-10-22,0.05673225197202658,0.09837782234759151,0.01514458237734817,0.19350323259856136,0.9670781893004116,0.04316516023393002,0.028282884389189578,0.014882275844740445
1,15,13735,2,1987-08-12,1988-08-11,0.06618302558401279,0.09283892705246687,0.07020269123598466,0.12353172415104141,0.9606299212598425,0.057938826260010234,0.03359556968992994,0.024343256570080296
1,15,20602,3,2006-05-31,2007-05-31,0.056751698336080736,0.07573758219338543,0.06154624255256025,0.10940908445057465,0.9603174603174603,0.1321413574601633,0.11596915557321896,0.01617220188694435
1,15,27470,4,2025-03-20,2026-03-20,0.06904355811351093,0.14352332110657878,0.0781979665005823,0.20724572192828208,0.9484126984126984,0.053862245725587066,0.026855882914607943,0.027006362810979123
1,30,0,0,1950-01-03,1951-01-03,0.10685561601361071,0.20842354070338784,0.15129596220071284,0.23264189230561838,0.911660777385159,0.14685450683853318,0.12246567528087726,0.02438883155765592
1,30,6867,1,1968-10-22,1969-10-22,0.1072166965944017,0.19889804046691525,0.1264339597085089,0.26175323956556945,0.9300411522633745,0.05050143222101999,0.0278261012150276,0.022675331005992394
1,30,13735,2,1987-08-12,1988-08-11,0.1272361819874146,0.15719854190416646,0.13609512570703708,0.15791032780291236,0.9212598425196851,0.06995479808120186,0.028254928025036152,0.04169987005616571
1,30,20602,3,2006-05-31,2007-05-31,0.11204474249689289,0.18934526274855906,0.1441954110361121,0.20057002926573148,0.9166666666666666,0.13611508331945177,0.10676238307894304,0.029352700240508733
1,30,27470,4,2025-03-20,2026-03-20,0.13140740808974538,0.2594585921343255,0.1761031692947188,0.2668707710989783,0.9166666666666666,0.06905400488591651,0.023598916110460832,0.045455088775455676
1,45,0,0,1950-01-03,1951-01-03,0.1601076946915232,0.2549108524688777,0.1808526012965146,0.28618502103346927,0.8692579505300353,0.15018391111959373,0.11535305838890686,0.03483085273068687
1,45,6867,1,1968-10-22,1969-10-22,0.16031937998905232,0.1879324856079939,0.18287520217834086,0.19685546237614293,0.897119341563786,0.05861661254068018,0.026371268398050818,0.03224534414262936
1,45,13735,2,1987-08-12,1988-08-11,0.18741034411242263,0.2884371062950229,0.24011722220499898,0.30203572750843877,0.8779527559055118,0.08713356931214356,0.02995568813465077,0.057177881177492784
1,45,20602,3,2006-05-31,2007-05-31,0.15699464212276237,0.3019439187701452,0.20466804350406687,0.296205395342021,0.8571428571428571,0.13718897861290325,0.1057207889042755,0.03146818970862775
1,45,27470,4,2025-03-20,2026-03-20,0.19918173247376258,0.3941292601336593,0.2830683659259603,0.3506282301494803,0.876984126984127,0.07542242399573773,0.008852353115257117,0.06657007088048061
1,60,0,0,1950-01-03,1951-01-03,0.20893895110431804,0.3572119986105588,0.2954209053515926,0.36296849349230664,0.8268551236749117,0.15715083786377448,0.11666217637022913,0.04048866149354535
1,60,6867,1,1968-10-22,1969-10-22,0.20153184995977136,0.30194993191677044,0.20153184995977136,0.35086816868292275,0.8600823045267489,0.05874005787569514,0.02799756986266111,0.03074248801303403
1,60,13735,2,1987-08-12,1988-08-11,0.22046374121077594,0.47320862627011495,0.4029846698425912,0.44495865285113523,0.7874015748031497,0.08262263208520237,0.034869530378037084,0.04775310170716529
1,60,20602,3,2006-05-31,2007-05-31,0.20802545315505294,0.3881197937911543,0.3006939518169822,0.3297937443586799,0.8333333333333334,0.14387742902406764,0.10468849935331503,0.039188929670752604
1,60,27470,4,2025-03-20,2026-03-20,0.26834750181577305,0.49019524433021877,0.3679056165516281,0.405158546523355,0.8373015873015873,0.07951373646978932,-0.007085512263448557,0.08659924873323788
1,90,0,0,1950-01-03,1951-01-03,0.30227691432475545,0.23042214851368686,0.07360285323588589,0.23533435954518137,0.734982332155477,0.15358376595462908,0.10724472436197341,0.04633904159265567
1,90,6867,1,1968-10-22,1969-10-22,0.2871026231370446,0.3411504231399782,0.38034427770274304,0.3813272109204983,0.7818930041152263,0.0657257800209523,0.03498393405327982,0.030741845967672488
1,90,13735,2,1987-08-12,1988-08-11,0.34389263178671325,0.6125321205950162,0.616658101897499,0.3591162683809097,0.7559055118110236,0.14749742574927893,0.06727322895820631,0.08022419679107262
1,90,20602,3,2006-05-31,2007-05-31,0.31317528882696566,0.5825137137540616,0.5656926227526042,0.35118065793112774,0.753968253968254,0.14161969886034664,0.08666104638039807,0.05495865247994858
1,90,27470,4,2025-03-20,2026-03-20,0.37822734429280747,0.5704648510322222,0.2182482919082378,0.49731624255498086,0.7579365079365079,0.09822686987933604,-0.004016445375572109,0.10224331525490815
1,120,0,0,1950-01-03,1951-01-03,0.4080486655832267,0.52838460631809,0.5917909094311269,0.3711654610341498,0.6501766784452296,0.15400271275984134,0.09272702124724352,0.06127569151259782
1,120,6867,1,1968-10-22,1969-10-22,0.37989849252468133,0.6830539235971914,0.5661198767460833,0.3895898352684594,0.6995884773662552,0.0650799171594918,0.029114224281300505,0.03596569287819129
1,120,13735,2,1987-08-12,1988-08-11,0.42381600208817116,0.7058181724664092,0.5969887529032132,0.35722603780701584,0.6732283464566929,0.15113932669690922,0.0779366225297804,0.07320270416712882
1,120,20602,3,2006-05-31,2007-05-31,0.41345417003211504,0.7564243571256735,0.6057384560551891,0.3884376641749016,0.6706349206349206,0.14471616248957964,0.07978542663090304,0.06493073585867659
1,120,27470,4,2025-03-20,2026-03-20,0.5077019343052789,0.9660600067878967,0.7391827633031645,0.38634860356126055,0.6785714285714286,0.11174504858539303,-0.016913145123495288,0.1286581937088883
