date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1950-09-07,1950,False,False,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0
1950-09-08,1950,False,False,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0
1950-09-11,1950,False,False,0.1764705882352941,0.1764705882352941,0.0,0.0,0.0
1950-09-12,1950,False,False,0.23529411764705882,0.23529411764705882,0.0,0.0,0.0
1950-09-13,1950,False,False,0.29411764705882354,0.29411764705882354,0.0,0.0,0.0
1950-09-14,1950,False,False,0.3529411764705882,0.3529411764705882,0.0,0.0,0.0
1950-09-15,1950,False,False,0.4117647058823529,0.4117647058823529,0.0,0.0,0.0
1950-09-18,1950,False,False,0.47058823529411764,0.47058823529411764,0.0,0.0,0.0
1950-09-19,1950,False,False,0.5294117647058824,0.5294117647058824,0.0,0.0,0.0
1950-09-20,1950,False,False,0.5882352941176471,0.5882352941176471,0.0,0.0,0.0
1950-09-21,1950,False,False,0.6470588235294118,0.6470588235294118,0.0,0.0,0.0
1950-09-22,1950,False,False,0.7058823529411764,0.7058823529411764,0.0,0.0,0.0
1950-09-25,1950,False,False,0.7647058823529411,0.7647058823529411,0.0,0.0,0.0
1950-09-26,1950,False,False,0.8235294117647058,0.8235294117647058,0.0,0.0,0.0
1950-09-27,1950,False,False,0.8823529411764706,0.8823529411764706,0.0,0.0,0.0
1950-09-28,1950,False,False,0.9411764705882353,0.9411764705882353,0.0,0.0,0.0
1950-09-29,1950,False,True,1.0,0.9999999999999999,0.0,-1.1102230246251565e-16,2.220446049250313e-16
1950-10-02,1950,False,False,1.0454545454545454,1.0471773082920812,0.0,0.0016478601054690234,-0.001645149129850365
1950-10-03,1950,False,False,1.0909090909090908,1.0863393128351646,0.0,-0.004188963234432408,0.00420658446208666
1950-10-04,1950,False,False,1.1363636363636362,1.1417670139785785,0.0,0.004754972301149074,-0.004732469539572515
1950-10-05,1950,False,False,1.1818181818181819,1.1936770558011167,0.0,0.010034431831714041,-0.009934742336968116
1950-10-06,1950,False,False,1.2272727272727273,1.2245958472442948,0.0,-0.0021811615046486432,0.0021859293696415705
1950-10-09,1950,False,False,1.2727272727272727,1.2761670460180263,0.0,0.002702679014163545,-0.0026953942287466504
1950-10-10,1950,False,False,1.3181818181818181,1.312102187137927,0.0,-0.004612133895365633,0.004633504237312902
1950-10-11,1950,False,False,1.3636363636363635,1.3587166029931212,0.0,-0.003607824471711152,0.0036208880000470067
1950-10-12,1950,False,False,1.4090909090909092,1.3999289919099474,0.0,-0.006502005741327754,0.0065445584982579685
1950-10-13,1950,False,False,1.4545454545454546,1.4490530671275965,0.0,-0.0037760163497774224,0.0037903286928928637
1950-10-16,1950,False,False,1.5,1.4642980924052655,0.0,-0.023801271729822937,0.024381584446436122
1950-10-17,1950,False,False,1.5454545454545454,1.515199621369599,0.0,-0.019576715584377014,0.019967615922183768
1950-10-18,1950,True,False,1.5909090909090908,1.544518841184136,0.0,-0.02915958554140019,0.030035405517869096
