horizon_years,contribution_interval_days,window_stride_days,window_number,start_date,end_date,final_relative_advantage,mean_relative_advantage,median_relative_advantage,std_relative_advantage,percent_time_btd_better,annual_return_btd,annual_return_dca,annual_alpha
1,15,0,0,1950-01-03,1951-01-03,0.055337621509344403,0.09307028486911269,0.0592339441785068,0.15055399284891868,0.9575971731448764,0.14236794858608137,0.12755952382970825,0.014808424756373118
1,15,6867,1,1968-10-22,1969-10-22,0.057022318185509624,0.09745373647816412,0.01320216617290959,0.19381517291473405,0.9670781893004116,-0.006687378530553234,-0.021127313363974443,0.014439934833421209
1,15,13735,2,1987-08-12,1988-08-11,0.06802498033784943,0.09239986948302832,0.03117300484947161,0.13338483571719037,0.9606299212598425,0.016137649891123207,-0.008957073520889591,0.025094723412012798
1,15,20602,3,2006-05-31,2007-05-31,0.05240902804360981,0.0779262240155631,0.05706250433276261,0.11570870737690088,0.9603174603174603,0.12554360669512077,0.11404690255193439,0.011496704143186376
1,15,27470,4,2025-03-20,2026-03-20,0.06241733249326198,0.13803731757405296,0.07176527675924071,0.20852042852597089,0.9484126984126984,0.040211516235215905,0.019880785762543374,0.02033073047267253
1,30,0,0,1950-01-03,1951-01-03,0.1068126617293581,0.20841456895959842,0.15127872297722167,0.23264531776644218,0.911660777385159,0.14797893275870666,0.1236098236708032,0.024369109087903462
1,30,6867,1,1968-10-22,1969-10-22,0.10677842865962783,0.16706724953097324,0.06750720385048148,0.26169686563092187,0.9300411522633745,0.0016512747573449449,-0.019581270182785326,0.02123254494013027
1,30,13735,2,1987-08-12,1988-08-11,0.12417600501529447,0.1613508300598422,0.13205461311296385,0.1767632181656697,0.9212598425196851,0.02889302374556224,-0.008513034392087615,0.037406058137649856
1,30,20602,3,2006-05-31,2007-05-31,0.10605037623144131,0.21095006711926398,0.14563348891596206,0.22313140265049095,0.9166666666666666,0.12746814174370202,0.1042955049986698,0.023172636745032227
1,30,27470,4,2025-03-20,2026-03-20,0.12019112716330094,0.25100730166726365,0.16350805081037767,0.26740389803027953,0.9166666666666666,0.052969407047823935,0.01830008307592501,0.034669323971898924
1,45,0,0,1950-01-03,1951-01-03,0.1600667265896316,0.25488144647813604,0.1807855260725657,0.28603821600058016,0.8692579505300353,0.15120967948964692,0.11638721472104874,0.03482246476859818
1,45,6867,1,1968-10-22,1969-10-22,0.15910060168645312,0.1730962568312473,0.04473122452940026,0.20381506071569377,0.897119341563786,0.010656672751570673,-0.019096788802805187,0.02975346155437586
1,45,13735,2,1987-08-12,1988-08-11,0.18353957772963847,0.2964201934084134,0.2314335504884666,0.3560740542790257,0.8779527559055118,0.04365223914107674,-0.008002775449078792,0.051655014590155535
1,45,20602,3,2006-05-31,2007-05-31,0.14844743381851488,0.34687213185957533,0.27015688113636904,0.2964792508511264,0.876984126984127,0.12928920667750043,0.10621728986971912,0.023071916807781312
1,45,27470,4,2025-03-20,2026-03-20,0.17938794539647973,0.3685389792942959,0.2602024568847239,0.34683521407013135,0.876984126984127,0.05854166255393278,0.009693940292872627,0.048847722261060156
1,60,0,0,1950-01-03,1951-01-03,0.20916746097382832,0.35741282902091936,0.29561545172433523,0.3629045737931447,0.8268551236749117,0.15831268643725616,0.11757198723904172,0.040740699198214436
