date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag,segment_reference_high,drawdown_from_reference_high,threshold_hit
1950-01-03,16.063609855325677,S&P 500,1950,1,3,195001,19501,195001,1.0,False,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,16.063609855325677,True,16.063609855325677,0.0,False
1950-01-04,16.3143196681779,S&P 500,1950,1,4,195001,19501,195001,1.0156073146142246,False,0.047619047619047616,0.09523809523809523,0.0,0.0,0.09523809523809523,0.0,0.0,16.3143196681779,True,16.3143196681779,0.0,False
1950-01-05,16.031570221919786,S&P 500,1950,1,5,195001,19501,195001,0.9826686339357665,False,0.047619047619047616,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,16.3143196681779,False,16.3143196681779,-0.017331366064233467,False
1950-01-06,16.310450740937625,S&P 500,1950,1,6,195001,19501,195001,1.0173957082904161,False,0.047619047619047616,0.19047619047619047,0.0,0.0,0.19047619047619047,0.0,0.0,16.3143196681779,False,16.3143196681779,-0.00023714916214512272,False
1950-01-09,16.308931132432143,S&P 500,1950,1,9,195001,19501,195002,0.9999068322188259,False,0.047619047619047616,0.23809523809523808,0.0,0.0,0.23809523809523808,0.0,0.0,16.3143196681779,False,16.3143196681779,-0.000330294848657986,False
1950-01-10,16.185132827138208,S&P 500,1950,1,10,195001,19501,195002,0.9924091711290786,False,0.047619047619047616,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,16.3143196681779,False,16.3143196681779,-0.007918616507906262,False
1950-01-11,16.061795904664077,S&P 500,1950,1,11,195001,19501,195002,0.9923796162940766,False,0.047619047619047616,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,16.3143196681779,False,16.3143196681779,-0.015478657317619438,False
1950-01-12,15.894853249088436,S&P 500,1950,1,12,195001,19501,195002,0.989606227313151,False,0.047619047619047616,0.38095238095238093,0.0,0.0,0.38095238095238093,0.0,0.0,16.3143196681779,False,16.3143196681779,-0.02571154835881151,False
1950-01-13,15.865372565033514,S&P 500,1950,1,13,195001,19501,195002,0.998145268560022,False,0.047619047619047616,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,16.3143196681779,False,16.3143196681779,-0.027518591781677926,False
1950-01-16,16.004305023402242,S&P 500,1950,1,16,195001,19501,195003,1.0087569616029648,False,0.047619047619047616,0.47619047619047616,0.0,0.0,0.47619047619047616,0.0,0.0,16.3143196681779,False,16.3143196681779,-0.019002609430313067,False
