date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,dip_window
1987-01-02,99.39720224667349,STOXX Europe 600,1987,1,2,198701,19871,198701,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1987-01-05,98.74698526684392,STOXX Europe 600,1987,1,5,198701,19871,198702,0.99345839756922,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1987-01-06,98.86187531694657,STOXX Europe 600,1987,1,6,198701,19871,198702,1.0011634790651298,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1987-01-07,100.26140977892864,STOXX Europe 600,1987,1,7,198701,19871,198702,1.0141564628173927,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1987-01-08,99.93280500018687,STOXX Europe 600,1987,1,8,198701,19871,198702,0.9967225198661547,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1987-01-09,98.75676707805134,STOXX Europe 600,1987,1,9,198701,19871,198702,0.9882317130782696,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1987-01-12,97.92029609825384,STOXX Europe 600,1987,1,12,198701,19871,198703,0.9915299882271723,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1987-01-13,99.88163199863008,STOXX Europe 600,1987,1,13,198701,19871,198703,1.020029922074666,False,0.0,0.0,0.0,1.020029922074666,1.020029922074666,1.0,0.02002992207466603,0
1987-01-14,99.5252415980434,STOXX Europe 600,1987,1,14,198701,19871,198703,0.9964318724728929,False,0.0,0.0,0.0,1.0163903252312385,1.0163903252312385,1.0,0.01639032523123851,0
1987-01-15,98.2653448946951,STOXX Europe 600,1987,1,15,198701,19871,198703,0.987340932982241,False,0.0,0.0,0.0,1.0035237719879344,1.0035237719879344,1.0,0.00352377198793441,0
1987-01-16,97.9665641705528,STOXX Europe 600,1987,1,16,198701,19871,198703,0.9969594496975257,False,0.0,0.0,0.0,1.0004725074794762,1.0004725074794762,1.0,0.0004725074794762474,0
1987-01-19,98.31604547279188,STOXX Europe 600,1987,1,19,198701,19871,198704,1.0035673528534763,False,0.0,0.0,0.0,1.0040415459338579,1.0040415459338579,1.0,0.00404154593385786,0
1987-01-20,98.65464985713642,STOXX Europe 600,1987,1,20,198701,19871,198704,1.0034440399094189,False,0.0,0.0,0.0,1.0074995050887687,1.0074995050887687,1.0,0.007499505088768732,0
1987-01-21,100.7254704665314,STOXX Europe 600,1987,1,21,198701,19871,198704,1.0209906032041447,False,0.0,0.0,0.0,1.0286475274284592,1.0286475274284592,1.0,0.02864752742845922,0
1987-01-22,100.54177689197503,STOXX Europe 600,1987,1,22,198701,19871,198704,0.9981762946978003,False,0.0,0.0,0.0,1.0267715774785935,1.0267715774785935,1.0,0.02677157747859349,0
1987-01-23,98.87448609152622,STOXX Europe 600,1987,1,23,198701,19871,198704,0.9834169352085333,False,0.0,0.0,0.0,1.0097445578832296,1.0097445578832296,1.0,0.009744557883229588,0
1987-01-26,100.55739801135668,STOXX Europe 600,1987,1,26,198701,19871,198705,1.0170206894251022,False,0.0,0.0,0.0,1.026931106401647,1.026931106401647,1.0,0.026931106401647087,0
1987-01-27,100.90361895813848,STOXX Europe 600,1987,1,27,198701,19871,198705,1.003443018153102,False,0.0,0.0,0.0,1.030466848842973,1.030466848842973,1.0,0.030466848842972905,0
1987-01-28,101.26550341883996,STOXX Europe 600,1987,1,28,198701,19871,198705,1.0035864368834146,False,0.0,0.0,0.0,1.0341625531567995,1.0341625531567995,1.0,0.0341625531567995,0
1987-01-29,100.540082518176,STOXX Europe 600,1987,1,29,198701,19871,198705,0.9928364460139643,False,0.0,0.0,0.0,1.0267542738769242,1.0267542738769242,1.0,0.026754273876924195,0
